,,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
GOOG,0,18.6,0.0,1.778,1065.0,2018-01-02,1066.94,"Jan 2, 18",1045.23,1048.34,1237564,1237564,1061.23
GOOG,1,17.48,0.01641314553990612,1.641,1082.48,2018-01-03,1086.29,"Jan 3, 18",1063.21,1064.31,1430170,1430170,1078.48
GOOG,2,3.92,0.020093896713615108,0.362,1086.4,2018-01-04,1093.57,"Jan 4, 18",1084.0,1088.0,1004605,1004605,1087.88
GOOG,3,15.83,0.03495774647887326,1.457,1102.23,2018-01-05,1104.25,"Jan 5, 18",1092.0,1094.0,1279123,1279123,1099.88
GOOG,4,4.71,0.0393802816901409,0.427,1106.94,2018-01-08,1111.27,"Jan 8, 18",1101.62,1102.23,1047603,1047603,1107.13
GOOG,5,-0.68,0.03874178403755868,-0.061,1106.26,2018-01-09,1110.57,"Jan 9, 18",1101.23,1109.4,902541,902541,1106.37
GOOG,6,-3.65,0.03531455399061023,-0.33,1102.61,2018-01-10,1104.6,"Jan 10, 18",1096.11,1097.1,1042793,1042793,1099.94
GOOG,7,2.91,0.0380469483568075,0.264,1105.52,2018-01-11,1106.53,"Jan 11, 18",1099.59,1106.3,978292,978292,1102.73
GOOG,8,16.74,0.05376525821596243,1.514,1122.26,2018-01-12,1124.29,"Jan 12, 18",1101.15,1102.41,1720533,1720533,1117.91
GOOG,9,-0.5,0.05329577464788732,-0.045,1121.76,2018-01-16,1139.91,"Jan 16, 18",1117.83,1132.51,1575261,1575261,1127.42
GOOG,10,10.22,0.06289201877934274,0.911,1131.98,2018-01-17,1132.6,"Jan 17, 18",1117.01,1126.22,1202639,1202639,1126.68
GOOG,11,-2.19,0.060835680751173675,-0.193,1129.79,2018-01-18,1132.51,"Jan 18, 18",1117.5,1131.41,1198234,1198234,1127.32
GOOG,12,7.72,0.06808450704225351,0.683,1137.51,2018-01-19,1137.86,"Jan 19, 18",1128.3,1131.83,1778229,1778229,1133.96
GOOG,13,18.3,0.08526760563380277,1.609,1155.81,2018-01-22,1159.88,"Jan 22, 18",1135.11,1137.49,1617975,1617975,1153.2
GOOG,14,14.16,0.09856338028169016,1.225,1169.97,2018-01-23,1171.63,"Jan 23, 18",1158.75,1159.85,1333056,1333056,1166.65
GOOG,15,-5.73,0.0931830985915493,-0.49,1164.24,2018-01-24,1179.86,"Jan 24, 18",1161.05,1177.33,1416625,1416625,1168.74
GOOG,16,6.13,0.09893896713615014,0.527,1170.37,2018-01-25,1175.94,"Jan 25, 18",1162.76,1172.53,1480540,1480540,1169.78
GOOG,17,5.47,0.10407511737089194,0.467,1175.84,2018-01-26,1175.84,"Jan 26, 18",1158.11,1175.08,2018755,2018755,1171.89
GOOG,18,-0.26,0.10383098591549289,-0.022,1175.58,2018-01-29,1186.89,"Jan 29, 18",1171.98,1176.48,1378913,1378913,1178.18
GOOG,19,-11.89,0.09266666666666672,-1.011,1163.69,2018-01-30,1176.52,"Jan 30, 18",1163.52,1167.83,1556346,1556346,1168.12
GOOG,20,6.25,0.09853521126760569,0.537,1169.94,2018-01-31,1173.0,"Jan 31, 18",1159.13,1170.57,1538688,1538688,1167.8
GOOG,21,-2.24,0.09643192488262915,-0.191,1167.7,2018-02-01,1174.0,"Feb 1, 18",1157.52,1162.61,2412114,2412114,1165.66
GOOG,22,-55.8,0.04403755868544609,-4.779,1111.9,2018-02-02,1123.07,"Feb 2, 18",1107.28,1122.0,4857943,4857943,1116.07
GOOG,23,-56.1,-0.008638497652582202,-5.045,1055.8,2018-02-05,1110.0,"Feb 5, 18",1052.03,1090.6,3798301,3798301,1081.1
GOOG,24,24.8,0.014647887323943577,2.349,1080.6,2018-02-06,1081.71,"Feb 6, 18",1023.14,1027.18,3447956,3447956,1060.46
GOOG,25,-32.02,-0.015417840375586923,-2.963,1048.58,2018-02-07,1081.78,"Feb 7, 18",1048.26,1081.54,2369232,2369232,1062.59
GOOG,26,-47.06,-0.059605633802816915,-4.488,1001.52,2018-02-08,1058.62,"Feb 8, 18",1000.66,1055.41,2859136,2859136,1028.59
GOOG,27,36.26,-0.025558685446009415,3.62,1037.78,2018-02-09,1043.97,"Feb 9, 18",992.56,1017.25,3505862,3505862,1018.92
GOOG,28,14.16,-0.012262910798122015,1.364,1051.94,2018-02-12,1061.5,"Feb 12, 18",1040.93,1048.0,2057718,2057718,1052.04
GOOG,29,0.16,-0.012112676056338114,0.015,1052.1,2018-02-13,1058.37,"Feb 13, 18",1044.09,1045.0,1265054,1265054,1052.7
GOOG,30,17.6,0.004413145539906146,1.673,1069.7,2018-02-14,1071.72,"Feb 14, 18",1046.75,1048.95,1555787,1555787,1063.52
GOOG,31,19.82,0.02302347417840374,1.853,1089.52,2018-02-15,1091.48,"Feb 15, 18",1064.34,1079.07,1843442,1843442,1081.77
GOOG,32,5.28,0.027981220657276953,0.485,1094.8,2018-02-16,1104.67,"Feb 16, 18",1088.31,1088.41,1681612,1681612,1097.12
GOOG,33,7.66,0.03517370892018783,0.7,1102.46,2018-02-20,1113.95,"Feb 20, 18",1088.52,1090.57,1423145,1423145,1103.98
GOOG,34,8.88,0.0435117370892018,0.805,1111.34,2018-02-21,1133.97,"Feb 21, 18",1106.33,1106.47,1512910,1512910,1120.12
GOOG,35,-4.71,0.039089201877934375,-0.424,1106.63,2018-02-22,1122.82,"Feb 22, 18",1102.59,1116.19,1317166,1317166,1112.71
GOOG,36,20.16,0.05801877934272297,1.822,1126.79,2018-02-23,1127.28,"Feb 23, 18",1104.71,1112.64,1260968,1260968,1117.92
GOOG,37,16.96,0.07394366197183098,1.505,1143.75,2018-02-26,1143.96,"Feb 26, 18",1126.69,1127.8,1559079,1559079,1135.94
GOOG,38,-25.46,0.050037558685445974,-2.226,1118.29,2018-02-27,1144.04,"Feb 27, 18",1118.0,1141.24,1774080,1774080,1129.14
GOOG,39,-13.56,0.037305164319248844,-1.213,1104.73,2018-02-28,1127.53,"Feb 28, 18",1103.24,1123.03,1882600,1882600,1114.02
GOOG,40,-35.21,0.004244131455399044,-3.187,1069.52,2018-03-01,1110.12,"Mar 1, 18",1067.0,1107.87,2515910,2515910,1082.76
GOOG,41,9.4,0.013070422535211335,0.879,1078.92,2018-03-02,1082.0,"Mar 2, 18",1048.12,1053.08,2271551,2271551,1065.2
GOOG,42,12.01,0.024347417840375647,1.113,1090.93,2018-03-05,1097.1,"Mar 5, 18",1069.0,1075.14,1202174,1202174,1087.03
GOOG,43,4.13,0.028225352112676006,0.379,1095.06,2018-03-06,1101.85,"Mar 6, 18",1089.78,1099.22,1532783,1532783,1096.9
GOOG,44,14.58,0.041915492957746575,1.331,1109.64,2018-03-07,1112.22,"Mar 7, 18",1085.48,1089.19,1292537,1292537,1102.43
GOOG,45,16.36,0.05727699530516432,1.474,1126.0,2018-03-08,1127.6,"Mar 8, 18",1112.8,1115.32,1355125,1355125,1121.54
GOOG,46,34.04,0.08923943661971828,3.023,1160.04,2018-03-09,1160.8,"Mar 9, 18",1132.46,1136.0,2128038,2128038,1148.85
GOOG,47,4.46,0.09342723004694836,0.384,1164.5,2018-03-12,1177.05,"Mar 12, 18",1157.42,1163.85,2172272,2172272,1168.3
GOOG,48,-26.33,0.06870422535211275,-2.261,1138.17,2018-03-13,1176.76,"Mar 13, 18",1133.33,1170.0,1907171,1907171,1150.24
GOOG,49,11.32,0.07933333333333334,0.995,1149.49,2018-03-14,1158.59,"Mar 14, 18",1141.44,1145.21,1291415,1291415,1149.61
GOOG,50,0.09,0.07941784037558679,0.008,1149.58,2018-03-15,1161.08,"Mar 15, 18",1134.54,1149.96,1472226,1472226,1150.05
GOOG,51,-13.85,0.06641314553990613,-1.205,1135.73,2018-03-16,1155.88,"Mar 16, 18",1131.96,1154.14,3091954,3091954,1141.15
