,,EPSReportDate,EPSSurpriseDollar,actualEPS,announceTime,consensusEPS,estimatedChangePercent,estimatedEPS,fiscalEndDate,fiscalPeriod,numberOfEstimates,symbolId,yearAgo,yearAgoChangePercent
A,-1q,2018-05-14,,0.65,AMC,0.65,0.12068965517241391,0.65,2018-04-30,Q2 2018,10,2,0.58,0.12068965517241391
A,-2q,2018-02-14,0.08,0.66,AMC,0.58,0.0943396226415093,0.58,2018-01-31,Q1 2018,10,2,0.53,0.24528301886792453
A,-3q,2017-11-20,0.04,0.67,AMC,0.63,0.0677966101694916,0.63,2017-10-31,Q4 2017,9,2,0.59,0.1355932203389832
A,-4q,2017-08-15,0.07,0.59,AMC,0.52,0.06122448979591842,0.52,2017-07-31,Q3 2017,9,2,0.49,0.20408163265306117
AA,-1q,2018-04-18,0.17,0.77,AMC,0.6,-0.04761904761904766,0.6,2018-03-31,Q1 2018,5,12042,0.63,0.22222222222222224
AA,-2q,2018-01-17,-0.19,1.04,AMC,1.23,7.785714285714284,1.23,2017-12-31,Q4 2017,6,12042,0.14,6.428571428571428
AA,-3q,2017-10-18,-0.03,0.72,AMC,0.75,,0.75,2017-09-30,Q3 2017,6,12042,,
AA,-4q,2017-07-19,0.02,0.62,AMC,0.6,,0.6,2017-06-30,Q2 2017,6,12042,,
AABA,-1q,2018-04-02,,,,,,,2017-12-31,,,7653,,
AABA,-2q,2018-01-02,,,,,,,2017-09-30,,,7653,,
AABA,-3q,2017-10-02,,,,,,,2017-06-30,Q2 2017,,7653,,
AAC,-1q,2018-05-02,0.03,0.13,AMC,0.1,-0.1666666666666666,0.1,2018-03-31,Q1 2018,2,9169,0.12,0.08333333333333341
AAC,-2q,2018-02-21,0.06,0.1,AMC,0.04,-0.7333333333333333,0.04,2017-12-31,Q4 2017,2,9169,0.15,-0.33333333333333326
AAC,-3q,2017-11-01,0.07,0.12,AMC,0.05,-0.736842105263158,0.05,2017-09-30,Q3 2017,3,9169,0.19,-0.368421052631579
AAC,-4q,2017-08-02,0.12,0.26,AMC,0.14,-0.22222222222222213,0.14,2017-06-30,Q2 2017,1,9169,0.18,0.44444444444444453
AAL,-1q,2018-04-26,0.01,0.75,BTO,0.74,0.21311475409836067,0.74,2018-03-31,Q1 2018,9,8148,0.61,0.2295081967213115
AAL,-2q,2018-01-25,0.03,0.95,BTO,0.92,,0.92,2017-12-31,Q4 2017,9,8148,0.92,0.03260869565217382
AAL,-3q,2017-10-26,0.03,1.42,BTO,1.39,-0.5035714285714286,1.39,2017-09-30,Q3 2017,10,8148,2.8,-0.4928571428571428
