,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
A,-1q,139000000,303000000,562000000,4525000000,3011000000,315000000,644000000,205000000,429000000,,215000000,1206000000,2018-04-30,91000000,4613000000,8784000000.0,3011000000,2115000000,,1206000000
A,-2q,185000000,215000000,538000000,4397000000,2887000000,345000000,673000000,-320000000,434000000,,239000000,1211000000,2018-01-31,93000000,4522000000,8698000000.0,2887000000,2145000000,,1211000000
A,-3q,122000000,288000000,542000000,4169000000,2678000000,210000000,647000000,177000000,414000000,,233000000,1189000000,2017-10-31,89000000,4831000000,8426000000.0,2678000000,2011000000,,1189000000
A,-4q,156000000,228000000,518000000,3996000000,2563000000,280000000,596000000,175000000,395000000,,201000000,1114000000,2017-07-31,87000000,4608000000,8261000000.0,2563000000,2081000000,,1114000000
AA,-1q,-166000000,55000000,2381000000,4149000000,1203000000,15000000,709000000,150000000,269000000,29000000,440000000,3090000000,2018-03-31,8000000,5368000000,17096000000.0,1196000000,1460000000,,3090000000
AA,-2q,232000000,455000000,2359000000,4238000000,1358000000,16000000,815000000,-196000000,284000000,35000000,531000000,3174000000,2017-12-31,9000000,4523000000,17447000000.0,1358000000,1404000000,,3174000000
AA,-3q,169000000,384000000,2361000000,3804000000,1119000000,17000000,603000000,113000000,272000000,16000000,331000000,2964000000,2017-09-30,8000000,5862000000,17254000000.0,1119000000,1401000000,,2964000000
AA,-4q,135000000,311000000,2309000000,3583000000,954000000,19000000,550000000,75000000,270000000,46000000,280000000,2859000000,2017-06-30,8000000,5954000000,16929000000.0,954000000,1437000000,,2859000000
AABA,-1q,,,,,,,,,,,,,2017-06-30,,48298581000,73374262000.0,,,,
AABA,-2q,188701000.0,214455000.0,,,1328913000.0,,,99434000.0,,-131628000.0,,,2017-03-31,252220000.0,35435717000,55368726000.0,,,,1327270000.0
AABA,-3q,-263922000.0,255259000.0,,,1119469000.0,,,161998000.0,,-95567000.0,,,2016-12-31,253754000.0,31049283000,48083079000.0,,,,1469140000.0
AABA,-4q,73335000.0,217906000.0,,,1411308000.0,,,162826000.0,,-118236000.0,,,2016-09-30,243644000.0,34836272000,54671626000.0,,,,1305206000.0
AAC,-1q,523000,-18999000,7747000.0,117276000,14341000,7319000,70726000.0,-202000,64501000,34000.0,6225000,75923000,2018-03-31,,157202000,519414000.0,14341000,328277000,,78473000
AAC,-2q,-2594000,5262000,,111936000,13818000,4722000,,-18822000,80924000,55000.0,5212000,86136000,2017-12-31,,150994000,428275000.0,13818000,225714000,,86136000
AAC,-3q,5619000,5641000,,114989000,16412000,4736000,,762000,75333000,,5091000,80424000,2017-09-30,,169826000,417566000.0,16412000,227006000,,80424000
AAC,-4q,4913000,4033000,,111776000,10793000,4503000,,-1916000,72061000,,5981000,78042000,2017-06-30,,166999000,406651000.0,10793000,212970000,,78042000
AAL,-1q,2000000,1799000000,8131000000,9673000000,400000000,2793000000,2270000000,186000000,1685000000,,585000000,9707000000,2018-03-31,,-1018000000,53280000000.0,5291000000,24739000000,,10401000000
AAL,-2q,-45000000,437000000,7999000000,9146000000,295000000,2554000000,2602000000,258000000,1729000000,,873000000,9251000000,2017-12-31,,3926000000,51396000000.0,5066000000,25065000000,,10601000000
AAL,-3q,-46000000,369000000,7950000000,10002000000,340000000,2467000000,2928000000,624000000,1589000000,,1339000000,9577000000,2017-09-30,,3948000000,52401000000.0,5768000000,24684000000,,10878000000
AAL,-4q,33000000,1688000000,7807000000,11016000000,386000000,2334000000,3298000000,803000000,1563000000,,1735000000,9778000000,2017-06-30,,3715000000,53336000000.0,6886000000,24859000000,,11105000000
AAMC,-1q,-4234000,-4220000,,51340000,29115000,,,-4364000,5513000,,-1461000,4052000,2018-03-31,,-200246000,52867000.0,45873000,,,4052000
AAMC,-2q,536000,2688000,,58413000,33349000,,,-1784000,5924000,,-1847000,4077000,2017-12-31,,-196895000,60387000.0,53240000,,257282000.0,4077000
AAMC,-3q,1161000,1154000,,58709000,32813000,,,-2125000,6712000,,-2283000,4429000,2017-09-30,,-197230000,58709000.0,50861000,,,4429000
AAMC,-4q,797000,2323000,,60463000,31652000,,,-1742000,6343000,,-1700000,4643000,2017-06-30,,-193910000,60463000.0,52673000,,,4643000
AAME,-1q,-16109000,-6876000,,,8438000,,,-5024000,,-370000,,,2018-03-31,,101724000,325810000.0,,,,40540000
AAME,-2q,15074000,3777000,,,24547000,,,2542000,,-6350000,,,2017-12-31,,112983000,343239000.0,,,,48825000
AAME,-3q,-3171000,4617000,,,9473000,,,747000,,-539000,,,2017-09-30,,109520000,334305000.0,,,,44798000
AAME,-4q,1966000,388000,,,12644000,,,1460000,,-1396000,,,2017-06-30,,107536000,332741000.0,,,,43632000
AAN,-1q,138381000,196576000,781025000,404385000,189410000,,164242000,52246000,56355000,,107887000,944675000,2018-03-31,,1756192000,2719009000.0,209876000,,,945267000
AAN,-2q,-75189000,-21138000,716370000,349694000,51037000,97192000.0,159001000,177560000,48489000,,110512000,874503000,2017-12-31,,1728004000,2692264000.0,71422000,368798000.0,,875371000
AAN,-3q,-134127000,64665000,687928000,362754000,126253000,98693000.0,142019000,25341000,56230000,,85789000,829175000,2017-09-30,,1573956000,2595004000.0,149146000,372691000.0,1021048000.0,829947000
AAN,-4q,-88193000,11429000,654412000,477942000,260335000,,152700000,36335000,51233000,,101467000,806621000,2017-06-30,,1542073000,2548130000.0,282587000,,1006057000.0,807112000
AAOI,-1q,-1708000,-4064000,39403000,241825000,83299000,2690000,25836000,2120000,23666000,-711000,2170000,65239000,2018-03-31,11736000,343294000,475617000.0,82251000,65154000,,65239000
AAOI,-2q,12115000,26786000,47701000,229697000,83948000,559000,32154000,5716000,21834000,684000,10320000,79855000,2017-12-31,10670000,333276000,452984000.0,82972000,49559000,119708000.0,79855000
AAOI,-3q,-4588000,7614000,49507000,230067000,72002000,3638000,39372000,19375000,21321000,-43000,18051000,88879000,2017-09-30,9190000,324442000,438704000.0,70966000,41009000,114262000.0,88879000
AAOI,-4q,17316000,40208000,64089000,218512000,74825000,4552000,53282000,29071000,19017000,-153000,34265000,117371000,2017-06-30,8073000,307502000,406986000.0,74867000,27366000,,117371000
AAON,-1q,-13284000,10744000,83692000,154687000,8173000,,15390000,4260000,10219000,-4000,5171000,89696000,2018-03-31,,239611000,306945000.0,23115000,,,99082000
AAON,-2q,-2058000,16129000,73085000,153727000,21457000,,31075000,15770000,13714000,5000,17361000,104160000,2017-12-31,,237226000,296780000.0,30414000,,,104160000
AAON,-3q,-10037000,8105000,78010000,164141000,23515000,,35658000,14717000,13034000,-42000,22624000,113668000,2017-09-30,,230298000,303138000.0,39897000,,,113668000
AAON,-4q,1929000,23594000,69648000,159716000,33552000,,31678000,13794000,11971000,29000,19707000,101326000,2017-06-30,,217747000,285011000.0,51804000,,,101326000
