symbol,companyName,primaryExchange,sector,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,change,changePercent,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange
A,Agilent Technologies Inc.,New York Stock Exchange,Healthcare,close,63.75,1528291801003,65.19,1528315241422,65.19,63.06,65.19,Close,"June 6, 2018",1528315241422,3106667,65.17,100,1528315194940,65.19,1528315241422,65.49,0.3,0.0046,1528318100117,63.52,1.67,0.02629,0.03435,106714,3076997,0,0,0,0,20857679094,26.08,75,57.92,-0.031968400729434576
AA,Alcoa Corporation,New York Stock Exchange,Basic Materials,close,49.92,1528291801003,50.13,1528315368389,50.19,49.17,50.13,Close,"June 6, 2018",1528315368389,2847999,50.11,100,1528315195316,50.13,1528315368389,50.11,-0.02,-0.0004,1528317349342,49.45,0.68,0.01375,0.05896,167918,3518502,0,0,0,0,9347031410,15.91,62.35,29.55,-0.08992953597969909
AABA,Altaba Inc.,Nasdaq Global Select,Financial Services,close,80.75,1528291800522,80.28,1528315200385,81.11,79.99,80.28,Close,"June 6, 2018",1528315200385,3136161,80.25,100,1528315195274,80.28,1528315200385,80.28,0,0,1528315206721,80.35,-0.07,-0.00087,0.02193,68776,4674937,0,0,0,0,65018115149,,81.25,50.28,0.09785829208259264
AAC,AAC Holdings Inc.,New York Stock Exchange,Healthcare,close,10.12,1528291801001,10.42,1528315323039,10.64,10.08,10.42,Close,"June 6, 2018",1528315323039,213272,10.45,100,1528314987298,10.42,1528315323039,10.42,0,0,1528317002561,10.12,0.3,0.02964,0.0434,9256,148849,0,0,0,0,256380484,17.08,13.0551,5.99,0.12133363538295573
AAL,American Airlines Group Inc.,Nasdaq Global Select,Industrials,close,43.45,1528291800754,44.19,1528315200373,44.23,42.88,44.19,Close,"June 6, 2018",1528315200373,6491075,44.17,200,1528315192191,44.19,1528315200373,44.19,0,0,1528318436537,44.18,0.01,0.00023,0.02734,177466,6397102,0,0,0,0,20687665559,8.77,59.08,40.65,-0.1624709621926697
AAMC,Altisource Asset Management Corp Com,NYSE American,Financial Services,close,69.2,1528291800024,67.55,1528315200046,71.6,67.55,67.55,Close,"June 6, 2018",1528315200046,3620,0,0,0,67.55,1528315800000,68.1,0.55,0.00814,1528315200045,68.55,-1,-0.01459,0,0,1631,0,0,0,0,108873510,,116,55,-0.13518012187299558
AAME,Atlantic American Corporation,NASDAQ Global Market,Financial Services,close,2.9,1528291800291,2.7,1528315200494,2.944,2.7,2.7,Close,"June 6, 2018",1528315200494,3397,0,0,0,2.7,1528315200494,,,,,2.9,-0.2,-0.06897,0,0,3993,0,0,0,0,54714088,,4,2.56,-0.17116497848363837
AAN,Aaron's Inc.,New York Stock Exchange,Industrials,close,40.62,1528291801002,40.67,1528315323040,41.11,39.975,40.67,Close,"June 6, 2018",1528315323040,433735,40.655,100,1528315170210,40.67,1528315323040,40.67,0,0,1528317091269,40.54,0.13,0.00321,0.0664,28800,811153,0,0,0,0,2951759502,15.82,49.77,34.29,0.030970172391938115
AAOI,Applied Optoelectronics Inc.,NASDAQ Global Market,Technology,close,47,1528291800690,44.86,1528315200562,47,44.25,44.86,Close,"June 6, 2018",1528315200562,1452915,44.8,100,1528315124449,44.86,1528315200562,44.86,0,0,1528317706000,47.04,-2.18,-0.04634,0.00686,9967,1445034,0,0,0,0,878314523,13.31,103.41,22.54,0.19449355315220268
AAON,AAON Inc.,Nasdaq Global Select,Basic Materials,close,32.2,1528291800433,32.6,1528315200186,32.65,31.45,32.6,Close,"June 6, 2018",1528315200186,253368,32.575,7,1528315170129,32.65,1528315200197,32.6,0,0,1528317002816,32.1,0.5,0.01558,0.0288,7297,324561,0,0,0,0,1707008731,38.81,40.25,29.05,-0.11567845737483089
AAP,Advance Auto Parts Inc W/I,New York Stock Exchange,Consumer Cyclical,close,130.11,1528291801063,130.59,1528315322069,131.49,129.47,130.59,Close,"June 6, 2018",1528315322069,1161201,130.54,100,1528315195116,130.59,1528315322069,130.59,0,0,1528317705000,129.95,0.64,0.00492,0.06642,77127,1206775,0,0,0,0,9667748903,22.21,134.99,78.81,0.23046220458019864
AAPL,Apple Inc.,Nasdaq Global Select,Technology,close,193.7,1528291800796,193.98,1528315200393,194.08,191.92,193.98,Close,"June 6, 2018",1528315200393,21081519,194,400,1528315199497,193.98,1528315200393,193.9,-0.08,-0.00041,1528318781439,193.31,0.67,0.00347,0.01791,377570,28675712,0,0,0,0,953438469240,19.94,193.98,142.2,0.13458938748343346
AAT,American Assets Trust Inc.,New York Stock Exchange,Real Estate,close,36.94,1528291801025,37.35,1528315324012,37.53,36.94,37.35,Close,"June 6, 2018",1528315324012,225072,37.365,100,1528315191667,37.35,1528315324012,37.35,0,0,1528317002908,37.04,0.31,0.00837,0.01388,3124,304383,0,0,0,0,1763050127,18.86,41.69,30.62,-0.01300699443315695
AAU,Almaden Minerals Ltd.,NYSE American,Basic Materials,close,0.73,1528291800015,0.7375,1528315200068,0.7457,0.73,0.7375,Close,"June 6, 2018",1528315200068,118056,0,0,0,0.7375,1528315800000,0.702,-0.0355,-0.04814,1527859192823,0.73,0.0075,0.01027,0,0,141169,0,0,0,0,75372223,,1.53,0.7,-0.28099213592233013
AAV,Advantage Oil & Gas Ltd,New York Stock Exchange,Energy,close,2.95,1528291801000,3.05,1528315324011,3.1,2.95,3.05,Close,"June 6, 2018",1528315324011,328207,3.025,100,1528315035851,3.05,1528315324011,3.05,0,0,1528119000002,2.95,0.1,0.0339,0.01294,4247,216660,0,0,0,0,567919080,21.79,7.35,2.7,-0.3105444444444444
AAWW,Atlas Air Worldwide Holdings,Nasdaq Global Select,Industrials,close,72,1528291800758,72.4,1528315200582,73,72,72.4,Close,"June 6, 2018",1528315200582,184937,72.4,100,1528315174771,72.4,1528315200582,72.4,0,0,1528317002992,71.8,0.6,0.00836,0.02921,5402,226093,0,0,0,0,1850674175,13.26,72.4,49.95,0.24735913718723027
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ Global Market,,close,78.02,1528291800607,78.69,1528315200593,78.7,77.98,78.69,Close,"June 6, 2018",1528315200593,462677,78.67,300,1528315158824,78.69,1528315200593,77.59,-1.1,-0.01398,1528290668353,77.47,1.22,0.01575,0.01621,7500,683005,0,0,0,0,4925994000,,83.52,66.725,0.010485490498202407
AAXN,Axon Enterprise Inc.,Nasdaq Global Select,Industrials,close,67.64,1528291800480,67.9,1528315200532,69.09,66.93,67.9,Close,"June 6, 2018",1528315200532,1126125,67.88,20,1528315115529,67.9,1528315200532,68.1,0.2,0.00295,1528318627031,67.06,0.84,0.01253,0.02867,32286,1526869,0,0,0,0,3624600523,161.67,67.9,20.57,1.5383303766478345
AB,AllianceBernstein Holding L.P. Units,New York Stock Exchange,Financial Services,close,28.8,1528291801001,29.2,1528315322016,29.25,28.75,29.2,Close,"June 6, 2018",1528315322016,434001,29.175,100,1528315162148,29.2,1528315322016,29.2,0,0,1528315324122,28.7,0.5,0.01742,0.02894,12560,392928,0,0,0,0,2851197296,11.36,29.2,22.5,0.22448405851106323
ABAC,Renmin Tianli Group Inc.,NASDAQ Capital Market,Consumer Defensive,close,2.3,1528291800311,2.41,1528315200237,2.416,2.3,2.41,Close,"June 6, 2018",1528315200237,22883,2.35,100,1528293568232,2.41,1528315200237,2.26,-0.15,-0.06224,1528290053305,2.3,0.11,0.04783,0.00437,100,37121,0,0,0,0,24060825,,4.76,1.9,-0.12779724014336924
ABAX,ABAXIS Inc.,Nasdaq Global Select,Healthcare,close,83.1,1528291800742,83.38,1528315200372,83.4,82.89,83.38,Close,"June 6, 2018",1528315200372,276180,83.4,100,1528315197556,83.38,1528315200372,83.38,0,0,1528317003148,83.25,0.13,0.00156,0.04895,13519,445755,0,0,0,0,1906983980,66.7,83.98,43.66,0.6740729280729035
ABB,ABB Ltd,New York Stock Exchange,Industrials,close,22.98,1528291801001,23.17,1528315322018,23.185,22.91,23.17,Close,"June 6, 2018",1528315322018,1044919,23.175,7,1528315194703,23.17,1528315322018,23.17,0,0,1528317091127,23.11,0.06,0.0026,0.01053,11003,2034126,0,0,0,0,49323480787,18.1,28.67,21.92,-0.11147399456407149
ABBV,AbbVie Inc.,New York Stock Exchange,Healthcare,close,99.24,1528291920295,99.98,1528315232368,99.99,98.32,99.98,Close,"June 6, 2018",1528315232368,4549195,99.97,100,1528315196358,99.98,1528315232368,99.98,0,0,1528318649867,99.24,0.74,0.00746,0.04535,206306,10517796,0,0,0,0,158656207511,16.18,125.86,67.37,0.033648275147506686
ABC,AmerisourceBergen Corporation,New York Stock Exchange,Healthcare,close,84.87,1528291801004,87.15,1528315342670,87.19,84.84,87.15,Close,"June 6, 2018",1528315342670,1033433,87.15,100,1528315195028,87.15,1528315342670,87.15,0,0,1528317682000,84.79,2.36,0.02783,0.02013,20803,1397278,0,0,0,0,19155924613,14.33,106.27,71.9,-0.06304107610456641
ABCB,Ameris Bancorp,Nasdaq Global Select,Financial Services,close,57.2,1528291800518,57.45,1528315200356,57.7,57.2,57.45,Close,"June 6, 2018",1528315200356,262381,57.425,10,1528315195077,57.45,1528315200356,57.45,0,0,1528317003314,57.05,0.4,0.00701,0.0252,6612,233846,0,0,0,0,2353558803,21.93,59.05,41.05,0.18433033224990958
ABCD,Cambium Learning Group Inc.,NASDAQ Capital Market,Consumer Defensive,close,10.36,1528291800713,10.29,1528315200293,10.39,10.18,10.29,Close,"June 6, 2018",1528315200293,218653,10.3,100,1528315171432,10.29,1528315200293,10.29,0,0,1528317003495,10.37,-0.08,-0.00771,0.01351,2954,248051,0,0,0,0,484838622,,13.77,4.67,0.8440757142857143
