symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
A,3048004,close,0.55,0.00897,61.84,1530302725460,Agilent Technologies Inc.,61.84,1530302725460,0,0,61.84,1530305942525,62.465,0,0,0,0,1530302395277,0.04915,61.84,4,94074,61.84,Close,"June 29, 2018",1530302725460,1914018,61.57,19785839472,61.68,1530279106472,24.74,61.29,New York Stock Exchange,Healthcare,75,58.22,-0.07419592413583491
AA,2827067,close,0.41,0.00882,46.88,1530302554069,Alcoa Corporation,46.88,1530302554069,0.03,0.00064,46.91,1530303299921,47.32,0,0,0,0,1530302380261,0.01073,46.95,100,28488,46.88,Close,"June 29, 2018",1530302554069,2654986,46.087,8741049920,46.19,1530279000002,14.88,46.47,New York Stock Exchange,Basic Materials,62.35,32.535,-0.14144282399854993
AABA,8389618,close,-1.2,-0.01613,73.21,1530302400407,Altaba Inc.,73.21,1530302400407,0,0,73.21,1530304889000,74.52,0,0,0,0,1530302395657,0.01015,73.26,9,178427,73.21,Close,"June 29, 2018",1530302400407,17579015,72.84,59292179996,73.35,1530279000397,,74.41,Nasdaq Global Select,Financial Services,82.45,54.045,-0.015036057705456058
AAC,180835,close,0.19,0.0207,9.37,1530302521084,AAC Holdings Inc.,9.37,1530302521084,0,0,9.37,1530302521569,9.43,0,0,0,0,1530302130012,0.00699,9.38,100,906,9.37,Close,"June 29, 2018",1530302521084,129614,9.09,230545599,9.18,1530279001001,15.36,9.18,New York Stock Exchange,Healthcare,13.0551,5.99,0.031487486515641816
AAL,5822932,close,-0.24,-0.00628,37.96,1530302400567,American Airlines Group Inc.,37.96,1530302400567,-0.06,-0.00158,37.9,1530305952433,38.75,0,0,0,0,1530302398445,0.02615,37.91,100,154121,37.96,Close,"June 29, 2018",1530302400567,5893728,37.82,17771074556,38.25,1530279000820,7.53,38.2,Nasdaq Global Select,Industrials,59.08,37.06,-0.286862356831909
AAMC,2670,close,0.75,0.01087,69.75,1530302400035,Altisource Asset Management Corp Com,69.75,1530303000000,-1.65,-0.02366,68.1,1528315200045,71.003,0,0,0,0,0,0,0,0,0,69.75,Close,"June 29, 2018",1530302400035,1418,69.15,112419353,69,1530279000028,,69,NYSE American,Financial Services,116,55,-0.09432563822963441
AAME,3695,close,0.2,0.08,2.7,1530302400495,Atlantic American Corporation,2.55,1530302400495,-0.2,-0.07407,2.5,1529093868399,2.7,0,0,0,0,1530298296090,0.08105,2.55,100,409,2.7,Close,"June 29, 2018",1530302400495,5046,2.4,54714088,2.5,1530279000572,,2.5,NASDAQ Global Market,Financial Services,4,2.3,-0.08411256617442185
AAN,590771,close,-0.35,-0.00799,43.45,1530302521085,Aaron's Inc.,43.45,1530302521085,0,0,43.45,1530303099066,44.33,0,0,0,0,1530302397845,0.00912,43.48,100,4575,43.45,Close,"June 29, 2018",1530302521085,501645,43.45,3153527178,44.05,1530279001002,16.91,43.8,New York Stock Exchange,Industrials,49.77,34.29,0.09429829468770622
AAOI,1362189,close,2.27,0.05325,44.9,1530302400361,Applied Optoelectronics Inc.,44.9,1530302400361,0,0,44.9,1530304876000,45.365,0,0,0,0,1530302342913,0.00752,44.93,100,9069,44.9,Close,"June 29, 2018",1530302400361,1205984,43,879097684,43,1530279000742,13.32,42.63,NASDAQ Global Market,Technology,103.41,22.54,0.2376340675283567
AAON,306362,close,0.05,0.00151,33.25,1530302400625,AAON Inc.,33.25,1530302400625,0,0,33.25,1530303099066,33.65,0,0,0,0,1530302388629,0.04957,33.35,100,15995,33.25,Close,"June 29, 2018",1530302400625,322675,33.05,1741044181,33.3,1530279000736,39.58,33.2,Nasdaq Global Select,Basic Materials,40.25,29.05,-0.09418578390256903
AAP,1202443,close,0.59,0.00437,135.7,1530302522159,Advance Auto Parts Inc W/I,135.7,1530302522159,0,0,135.7,1530304316380,137.87,0,0,0,0,1530302395077,0.01677,135.76,4,11637,135.7,Close,"June 29, 2018",1530302522159,693918,135.27,10046048903,135.81,1530279001008,23.08,135.11,New York Stock Exchange,Consumer Cyclical,143.42,78.81,0.2846915428016113
AAPL,23583454,close,-0.39,-0.0021,185.11,1530302400598,Apple Inc.,185.11,1530302400598,0,0,185.11,1530305942000,187.19,0,0,0,0,1530302434491,0.01131,185.35,100,255113,185.11,Close,"June 29, 2018",1530302400598,22556410,182.91,909841195180,186.38,1530279000475,19.02,185.5,Nasdaq Global Select,Technology,194.2,142.41,0.08103853301463132
AAT,263489,close,-0.01,-0.00026,38.29,1530302520724,American Assets Trust Inc.,38.29,1530302520724,0,0,38.29,1530305156533,38.625,0,0,0,0,1530302358908,0.01916,38.34,7,4875,38.29,Close,"June 29, 2018",1530302520724,254436,37.94,1807421402,38.19,1530279001002,19.34,38.3,New York Stock Exchange,Real Estate,41.69,30.62,0.018708949256464064
